product_id,site,title,author,handle,variant_id,condition,source,country,format,used_price,new_price,ref_source,pct_off,quality,isbn13,isbn10,barcode,upc,sku,stock,publisher,list_price_us,rrp,url
9816510365969,wob,Family-Based Youth Ministry,Mark Devries,family-based-youth-ministry-book-mark-devries-9780830832439,50763275534609,VERY_GOOD,SBYB,US,,3.89,17.99,store_new,0.7838,False,9780830832439,0830832432,9780830832439,,CIN0830832432VG,198,InterVarsity Press,29.99,11.99,https://www.worldofbooks.com/products/family-based-youth-ministry-book-mark-devries-9780830832439?variant=50763275534609
9809020911889,wob,We Do,Stan Tatkin,we-do-book-stan-tatkin-9781622038930,49798425903377,GOOD,SBYB,US,,4.28,19.79,store_new,0.7837,False,9781622038930,1622038932,9781622038930,,CIN1622038932G,33,Sounds True Inc,19.99,14.99,https://www.worldofbooks.com/products/we-do-book-stan-tatkin-9781622038930?variant=49798425903377
9868950733073,wob,Atheism on Trial  A Lawyer Examines the Case for Unbelief,W Mark Lanier,atheism-on-trial-a-lawyer-examines-the-case-for-unbelief-book-w-mark-lanier-9781514002261,50126109606161,VERY_GOOD,SBYB,US,,4.28,19.79,store_new,0.7837,False,9781514002261,1514002264,9781514002261,,CIN1514002264VG,11,InterVarsity Press,19.99,14.99,https://www.worldofbooks.com/products/atheism-on-trial-a-lawyer-examines-the-case-for-unbelief-book-w-mark-lanier-9781514002261?variant=50126109606161
10415742746897,wob,Raising AI,De Kai,raising-ai-book-de-kai-9780262049764,51829286764817,VERY_GOOD,SBYB,US,,6.51,30.09,,0.7836,False,9780262049764,,9780262049764,,,,MIT Press Ltd,32.95,30.0,https://www.worldofbooks.com/products/raising-ai-book-de-kai-9780262049764?variant=51829286764817
10015566561553,wob,CSB Law Enforcement Officer's Bible,Csb Bibles By Holman Csb Bibles By Holman,csb-law-enforcement-officer-s-bible-book-csb-bibles-by-holman-csb-bible-9781433651755,50146526363921,GOOD,SBYB,US,,5.28,24.39,,0.7835,False,9781433651755,,9781433651755,,,,"Cengage Learning, Inc",24.99,23.99,https://www.worldofbooks.com/products/csb-law-enforcement-officer-s-bible-book-csb-bibles-by-holman-csb-bible-9781433651755?variant=50146526363921
9860603478289,wob,"National Geographic Kids Bird Guide of North America, Second Edition",National Geographic Kids,national-geographic-kids-bird-guide-of-north-america-second-edition-book-national-geographic-kids-9781426330735,49768727904529,GOOD,SBYB,US,,3.68,16.99,store_new,0.7834,False,9781426330735,1426330731,9781426330735,,CIN1426330731G,52,National Geographic Kids,16.99,14.99,https://www.worldofbooks.com/products/national-geographic-kids-bird-guide-of-north-america-second-edition-book-national-geographic-kids-9781426330735?variant=49768727904529
9849935298833,wob,"Habitudes, the Art of Connecting with Others (a Character Based Resource)",Tim Elmore,habitudes-the-art-of-connecting-with-others-a-character-based-resource-book-tim-elmore-9780979294013,49677438320913,GOOD,SBYB,US,,4.98,22.99,list_price,0.7834,False,9780979294013,0979294010,9780979294013,,CIN0979294010G,1,Ingram,22.99,,https://www.worldofbooks.com/products/habitudes-the-art-of-connecting-with-others-a-character-based-resource-book-tim-elmore-9780979294013?variant=49677438320913
9845589344529,wob,"A Practical Guide to Linux Commands, Editors, and Shell Programming",Mark G Sobell,practical-guide-to-linux-commands-editors-and-shell-programming-book-mark-g-sobell-9780131478237,49932239044881,GOOD,SBYB,US,,6.28,28.99,list_price,0.7834,False,9780131478237,0131478230,9780131478237,,CIN0131478230G,3,Pearson Education (US),,28.99,https://www.worldofbooks.com/products/practical-guide-to-linux-commands-editors-and-shell-programming-book-mark-g-sobell-9780131478237?variant=49932239044881
9779742408977,wob,The Big Book of Berenstain Bears Beginner Books,Stan Berenstain,big-book-of-berenstain-bears-beginner-books-book-stan-berenstain-9780375873669,49503558893841,GOOD,SBYB,US,,3.68,16.99,store_new,0.7834,False,9780375873669,037587366X,9780375873669,,CIN037587366XG,204,Random House USA Inc,16.99,,https://www.worldofbooks.com/products/big-book-of-berenstain-bears-beginner-books-book-stan-berenstain-9780375873669?variant=49503558893841
9787555119377,wob,Architecture for Kids,Mark Moreno,architecture-for-kids-book-mark-moreno-9781648760020,49990196691217,VERY_GOOD,SBYB,US,,3.68,16.99,store_new,0.7834,False,9781648760020,1648760023,9781648760020,,CIN1648760023VG,692,Callisto Media Inc.,16.99,11.99,https://www.worldofbooks.com/products/architecture-for-kids-book-mark-moreno-9781648760020?variant=49990196691217
9807333130513,wob,Woodshop Dust Control: A Complete Guide to Setting Up Your Own System,Sandor Nagyszalanczy,woodshop-dust-control-a-complete-guide-to-setting-up-your-own-system-book-sandor-nagyszalanczy-9781561584994,49875586023697,GOOD,SBYB,US,,3.68,16.99,list_price,0.7834,False,9781561584994,1561584991,9781561584994,,CIN1561584991G,5,Taunton Press Inc,,16.99,https://www.worldofbooks.com/products/woodshop-dust-control-a-complete-guide-to-setting-up-your-own-system-book-sandor-nagyszalanczy-9781561584994?variant=49875586023697
9850075644177,wob,Spanish Complete Course,Living Language,spanish-complete-course-book-living-language-9780307478597,49677721338129,GOOD,SBYB,US,,11.93,55.0,list_price,0.7831,False,9780307478597,0307478599,9780307478597,,CIN0307478599G,1,Random House USA Inc,,55.0,https://www.worldofbooks.com/products/spanish-complete-course-book-living-language-9780307478597?variant=49677721338129
10093037879569,wob,"Your guide to Excel in First Lego League: Robot Architecture, Design, Programming and Game Strategies",Sanjeev Dwivedi Rajeev Dwivedi,your-guide-to-excel-in-first-lego-league-robot-architecture-design-programming-a-book-sanjeev-dwivedi-rajeev-dwivedi-9781975760755,51418066223377,VERY_GOOD,SBYB,US,,7.59,34.99,list_price,0.7831,False,9781975760755,1975760751,9781975760755,,CIN1975760751VG,18,CreateSpace Independent Publishing Platform,34.99,,https://www.worldofbooks.com/products/your-guide-to-excel-in-first-lego-league-robot-architecture-design-programming-a-book-sanjeev-dwivedi-rajeev-dwivedi-9781975760755?variant=51418066223377
10114925691153,wob,Classical Rhetoric with Aristotle Traditional Principles of Speaking & Writing Text,Student Text,classical-rhetoric-with-aristotle-traditional-principles-of-speaking-writing-tex-book-student-text-9781930953444,51684680532241,VERY_GOOD,SBYB,US,,8.68,39.95,list_price,0.7827,False,9781930953444,1930953445,9781930953444,,CIN1930953445VG,1,Memoria Press,39.95,,https://www.worldofbooks.com/products/classical-rhetoric-with-aristotle-traditional-principles-of-speaking-writing-tex-book-student-text-9781930953444?variant=51684680532241
10077087858961,wob,Murder in the Model City,Douglas Rae,murder-in-the-model-city-book-douglas-rae-9780465069026,51324417507601,VERY_GOOD,SBYB,US,,8.48,39.0,list_price,0.7826,False,9780465069026,0465069029,9780465069026,,CIN0465069029VG,1,Basic Books,39,19.99,https://www.worldofbooks.com/products/murder-in-the-model-city-book-douglas-rae-9780465069026?variant=51324417507601
9941344846097,wob,Clep(r) Principles of Marketing Book + Online,James E Finch,clep-r-principles-of-marketing-book-online-book-james-e-finch-9780738610955,49916294725905,GOOD,,US,,6.78,31.19,store_new,0.7826,False,9780738610955,073861095X,9780738610955,,CIN073861095XG,1,Research & Education Association,34.95,,https://www.worldofbooks.com/products/clep-r-principles-of-marketing-book-online-book-james-e-finch-9780738610955?variant=49916294725905
11018981212433,wob,Probability Models for DNA Sequence Evolution,Richard Durrett,probability-models-for-dna-sequence-evolution-book-richard-durrett-9780387954356,53433182847249,GOOD,SBYB,US,,18.48,84.95,list_price,0.7825,False,9780387954356,038795435X,9780387954356,,CIN038795435XG,1,Springer-Verlag New York Inc.,84.95,49.99,https://www.worldofbooks.com/products/probability-models-for-dna-sequence-evolution-book-richard-durrett-9780387954356?variant=53433182847249
9919579390225,wob,Starving the Fairytale: A New Model for Self-Discovery,Emily Copeland,starving-the-fairytale-a-new-model-for-self-discovery-book-emily-copeland-9780578382333,49849678692625,GOOD,SBYB,US,,3.48,15.99,list_price,0.7824,False,9780578382333,0578382334,9780578382333,,CIN0578382334G,1,Emily Copeland,15.99,,https://www.worldofbooks.com/products/starving-the-fairytale-a-new-model-for-self-discovery-book-emily-copeland-9780578382333?variant=49849678692625
10079259296017,wob,The Joy Model,Jeff Spadafora,joy-model-book-jeff-spadafora-9780718091514,50360156389649,VERY_GOOD,SBYB,US,,3.68,16.89,store_new,0.7821,False,9780718091514,0718091515,9780718091514,,CIN0718091515VG,201,Thomas Nelson Publishers,16.99,11.99,https://www.worldofbooks.com/products/joy-model-book-jeff-spadafora-9780718091514?variant=50360156389649
9869685555473,wob,One Question a Day,Aimee Chase,one-question-a-day-book-aimee-chase-9781250108869,50105968099601,VERY_GOOD,SBYB,US,,3.88,17.79,,0.7819,False,9781250108869,,9781250108869,,,,St Martin's Press,17.99,12.99,https://www.worldofbooks.com/products/one-question-a-day-book-aimee-chase-9781250108869?variant=50105968099601
